"Country","conspiracy","gdp","inequality","corruption","political_stability","pisa_math","pisa_reading","pisa_science","university_graduates","human_development_index","weirdness","hospitalbeds_per_1000_people","pandemic_response","power_distance","individualism","masculinity","uncertainty_avoidance","longterm_orientation","indulgence","dataset","vi"
"Nigeria",5.04,9086.87550609627,33.9,-26,31.6874346,NA,NA,NA,10.5669097900391,0.56,0.1573,0.5,38,NA,NA,NA,NA,12.8463476070529,83.9285714285714,"ManyLabs COVID",0.0121
"Netherlands",1.12,86173.6290841738,25.7,-78,73.2073612,493,459,488,36.5573313987755,0.955,0.0961,2.42,64.7,38,80,14,53,67.0025188916877,68.3035714285714,"ManyLabs COVID",0.0025
"Norway",1.07,102037.526800237,26.5,-81,81.3235982,468,477,478,32.1868255742863,0.97,0.1357,3.3,60.2,31,69,8,50,34.5088161209068,55.1339285714286,"ManyLabs COVID",0.0081
"Nepal",3.55,5736.62134332704,30,-34,58.8121329,NA,NA,NA,5.81882377960664,0.622,NA,0.54,34,NA,NA,NA,NA,NA,NA,"ManyLabs COVID",0.0144
"New Zealand",3,55551.143658637,NA,-81,85.5494444,479,501,504,32.2832717895508,0.938,0.0565,2.51,62.5,22,79,58,49,32.7455919395466,74.5535714285714,"ManyLabs COVID",0.0169
"Pakistan",4.83,6252.11543199559,33.5,-28,30.6476878,NA,NA,NA,9.92868041992188,0.544,0.2126,0.63,30.4,55,14,50,70,49.8740554156171,0,"ManyLabs COVID",0.0144
"Philippines",5.2,11794.1375488492,39.3,-32,52.6707116,355,347,356,18.075719833374,0.72,0.18,0.97,45.7,94,32,64,44,27.455919395466,41.9642857142857,"ManyLabs COVID",0.0169
"Poland",4.92,51262.5105756884,28.5,-53,74.4122187,489,489,499,27.7237205505371,0.906,0.0885,6.04,55.7,68,60,64,93,37.7833753148615,29.2410714285714,"ManyLabs COVID",0.0049
"Romania",5.22,49076.5399383138,29.8,-45,68.6083999,428,428,428,14.6010893280568,0.845,0.1146,7.23,45.7,90,30,42,90,51.8891687657431,19.8660714285714,"ManyLabs COVID",0.01
"Russia",3.35,47404.96484375,33,-22,50.464845,NA,NA,NA,41.2176399230957,0.832,0.1065,6.81,49.1,93,39,36,95,81.360201511335,19.8660714285714,"ManyLabs COVID",0.0144
"Senegal",3.53,5070.6486207418,36.2,-46,61.990291,NA,NA,NA,3.81153011322021,0.53,NA,0.71,32.8,NA,NA,NA,NA,NA,NA,"ManyLabs COVID",0.0225
"Singapore",3.52,150689.301625826,NA,-84,86.9368376,575,543,561,36.193660736084,0.946,0.0419,2.81,57.4,74,20,48,8,71.536523929471,45.5357142857143,"ManyLabs COVID",0.0121
"Serbia",3.95,32832.1763221005,32.8,-33,63.0137693,440,440,447,19.9911013863254,0.833,NA,5.78,45,86,25,43,92,52.1410579345088,28.125,"ManyLabs COVID",0.01
"Slovakia",4.58,48132.356430543,23.8,-48,76.7304703,464,447,462,25.2886278348116,0.88,NA,5.57,54.4,104,52,110,51,76.5743073047859,28.3482142857143,"ManyLabs COVID",0.0081
